name,label,concept,predicateType,group,limit,hasGeoCollectionSupport,required,attributes
PL003037,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL004004,Total!!Not Hispanic or Latino!!Population of one race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL003038,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL004007,Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL003039,Total!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL004006,Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL002064,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL004001,Total,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL003032,Total!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL003033,Total!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002065,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003034,Total!!Population of two or more races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002066,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL004003,Total!!Not Hispanic or Latino,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
