state,county,tract,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
17,043,845509,140,1400000US17043845509,00,Census Tract 8455.09,17,043,,845509,,,,,,,,3452,3363,2322,104,5,911,2,19,89,80,9,0,0,0,3452,172,3280,3209,2192,101,4,906,2,4,71,65,6,0,0,0,2589,2550,1787,76,5,669,2,11,39,37,2,0,0,0,2589,102,2487,2453,1706,76,4,665,2,0,34,32,2,0,0,0,1240,1165,75
17,043,845510,140,1400000US17043845510,00,Census Tract 8455.10,17,043,,845510,,,,,,,,3254,3177,2026,367,9,708,4,63,77,72,4,1,0,0,3254,231,3023,2959,1876,359,8,707,4,5,64,60,4,0,0,0,2635,2589,1722,275,2,547,4,39,46,44,2,0,0,0,2635,162,2473,2433,1609,272,1,546,4,1,40,38,2,0,0,0,1591,1498,93
17,043,845601,140,1400000US17043845601,00,Census Tract 8456.01,17,043,,845601,,,,,,,,4434,4338,3456,479,8,231,0,164,96,84,8,4,0,0,4434,515,3919,3853,3139,474,8,226,0,6,66,56,6,4,0,0,3234,3186,2564,337,6,175,0,104,48,42,4,2,0,0,3234,313,2921,2889,2374,336,6,171,0,2,32,28,2,2,0,0,1740,1653,87
17,043,845602,140,1400000US17043845602,00,Census Tract 8456.02,17,043,,845602,,,,,,,,4734,4654,4329,119,10,175,0,21,80,75,4,1,0,0,4734,197,4537,4472,4176,119,2,174,0,1,65,62,3,0,0,0,3577,3551,3288,93,7,146,0,17,26,24,1,1,0,0,3577,132,3445,3426,3186,93,1,145,0,1,19,18,1,0,0,0,2111,1962,149
17,043,845701,140,1400000US17043845701,00,Census Tract 8457.01,17,043,,845701,,,,,,,,3915,3823,3507,89,5,179,0,43,92,86,6,0,0,0,3915,147,3768,3696,3423,87,5,177,0,4,72,67,5,0,0,0,3059,3021,2768,62,4,156,0,31,38,35,3,0,0,0,3059,94,2965,2935,2716,60,4,154,0,1,30,27,3,0,0,0,1580,1522,58
17,043,845702,140,1400000US17043845702,00,Census Tract 8457.02,17,043,,845702,,,,,,,,4791,4712,4345,81,10,234,0,42,79,76,3,0,0,0,4791,185,4606,4535,4210,80,9,233,0,3,71,68,3,0,0,0,3663,3635,3340,62,9,193,0,31,28,26,2,0,0,0,3663,117,3546,3522,3257,62,8,193,0,2,24,22,2,0,0,0,1775,1711,64
17,043,845703,140,1400000US17043845703,00,Census Tract 8457.03,17,043,,845703,,,,,,,,4772,4669,3535,365,15,625,1,128,103,93,10,0,0,0,4772,448,4324,4251,3245,356,7,622,1,20,73,68,5,0,0,0,3741,3682,2757,286,12,530,1,96,59,51,8,0,0,0,3741,313,3428,3382,2557,280,4,527,1,13,46,41,5,0,0,0,1920,1840,80
17,043,845704,140,1400000US17043845704,00,Census Tract 8457.04,17,043,,845704,,,,,,,,4754,4640,3855,286,8,429,2,60,114,106,6,0,2,0,4754,330,4424,4332,3608,282,3,429,2,8,92,85,5,0,2,0,3782,3734,3151,190,7,339,2,45,48,44,2,0,2,0,3782,212,3570,3532,2993,190,3,339,2,5,38,34,2,0,2,0,2080,1999,81
17,043,845802,140,1400000US17043845802,00,Census Tract 8458.02,17,043,,845802,,,,,,,,3668,3620,3158,51,7,373,0,31,48,46,2,0,0,0,3668,151,3517,3478,3051,51,3,373,0,0,39,38,1,0,0,0,3023,2996,2641,38,2,298,0,17,27,25,2,0,0,0,3023,106,2917,2898,2560,38,2,298,0,0,19,18,1,0,0,0,1647,1584,63
17,043,845803,140,1400000US17043845803,00,Census Tract 8458.03,17,043,,845803,,,,,,,,5427,5301,3190,1596,13,332,5,165,126,117,9,0,0,0,5427,485,4942,4853,2940,1570,2,331,5,5,89,84,5,0,0,0,3841,3785,2577,831,8,252,3,114,56,53,3,0,0,0,3841,297,3544,3500,2418,822,1,252,3,4,44,41,3,0,0,0,2212,2100,112
