state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
01,117,050,0500000US01117,00,Shelby County,01,117,,,,,,,,,,195085,192401,161943,20732,553,3726,74,5373,2684,2518,163,2,1,0,195085,11567,183518,181446,156371,20606,458,3699,62,250,2072,1935,135,1,1,0,145123,143706,122241,14916,430,2663,49,3407,1417,1319,96,1,1,0,145123,7336,137787,136701,118676,14847,368,2646,45,119,1086,1003,82,0,1,0,80970,74072,6898
01,119,050,0500000US01119,00,Sumter County,01,119,,,,,,,,,,13763,13716,3326,10316,11,33,4,26,47,32,15,0,0,0,13763,86,13677,13632,3304,10283,11,33,1,0,45,31,14,0,0,0,10695,10659,2875,7721,9,27,4,23,36,21,15,0,0,0,10695,72,10623,10589,2860,7692,9,27,1,0,34,20,14,0,0,0,6786,5629,1157
01,121,050,0500000US01121,00,Talladega County,01,121,,,,,,,,,,82291,81190,53739,26055,264,339,6,787,1101,1043,53,5,0,0,82291,1671,80620,79657,53079,25953,230,329,6,60,963,919,40,4,0,0,63006,62446,42286,19115,217,264,6,558,560,522,33,5,0,0,63006,1194,61812,61333,41823,19034,187,257,6,26,479,452,23,4,0,0,37088,31890,5198
01,123,050,0500000US01123,00,Tallapoosa County,01,123,,,,,,,,,,41616,41209,29087,11083,121,197,8,713,407,378,27,2,0,0,41616,1042,40574,40228,28838,11050,119,197,2,22,346,321,23,2,0,0,32397,32173,23438,7981,97,134,7,516,224,208,14,2,0,0,32397,721,31676,31490,23290,7957,96,134,2,11,186,174,10,2,0,0,22111,16985,5126
01,125,050,0500000US01125,00,Tuscaloosa County,01,125,,,,,,,,,,194656,192557,129004,57611,526,2306,117,2993,2099,1984,104,10,1,0,194656,5949,188707,186972,126611,57401,455,2293,76,136,1735,1646,86,3,0,0,152870,151670,105650,41536,427,1909,77,2071,1200,1126,68,6,0,0,152870,4180,148690,147700,103919,41385,376,1897,49,74,990,929,59,2,0,0,84872,76141,8731
01,127,050,0500000US01127,00,Walker County,01,127,,,,,,,,,,67023,66195,61146,3928,251,195,36,639,828,800,28,0,0,0,67023,1307,65716,64957,60587,3885,233,190,26,36,759,738,21,0,0,0,51916,51497,47837,2850,202,146,26,436,419,410,9,0,0,0,51916,872,51044,50655,47475,2825,191,141,18,5,389,381,8,0,0,0,30816,26571,4245
01,129,050,0500000US01129,00,Washington County,01,129,,,,,,,,,,17581,17374,11508,4380,1411,20,12,43,207,196,11,0,0,0,17581,151,17430,17244,11455,4360,1394,18,9,8,186,176,10,0,0,0,13097,12982,8866,3130,936,14,8,28,115,107,8,0,0,0,13097,108,12989,12884,8826,3113,925,12,5,3,105,98,7,0,0,0,8407,6758,1649
01,131,050,0500000US01131,00,Wilcox County,01,131,,,,,,,,,,11670,11619,3126,8465,14,4,1,9,51,43,8,0,0,0,11670,72,11598,11551,3110,8420,14,4,1,2,47,39,8,0,0,0,8520,8486,2530,5933,12,4,0,7,34,28,6,0,0,0,8520,53,8467,8436,2520,5899,12,4,0,1,31,25,6,0,0,0,5649,4484,1165
01,133,050,0500000US01133,00,Winston County,01,133,,,,,,,,,,24484,24131,23409,115,163,60,28,356,353,333,17,0,3,0,24484,639,23845,23562,23237,115,139,59,8,4,283,267,13,0,3,0,19185,18974,18473,81,121,45,16,238,211,196,13,0,2,0,19185,376,18809,18629,18387,81,108,44,6,3,180,168,10,0,2,0,13469,10163,3306
02,013,050,0500000US02013,00,Aleutians East Borough,02,013,,,,,,,,,,3141,2988,660,219,876,1130,19,84,153,138,14,0,1,0,3141,385,2756,2639,425,212,869,1113,19,1,117,104,12,0,1,0,2770,2656,607,217,628,1106,19,79,114,109,4,0,1,0,2770,361,2409,2327,378,211,625,1093,19,1,82,78,3,0,1,0,747,553,194
02,016,050,0500000US02016,00,Aleutians West Census Area,02,016,,,,,,,,,,5561,5250,2004,332,857,1606,103,348,311,285,25,1,0,0,5561,726,4835,4586,1745,318,841,1575,102,5,249,226,23,0,0,0,4746,4565,1744,330,654,1421,93,323,181,170,10,1,0,0,4746,627,4119,3969,1522,316,640,1394,92,5,150,140,10,0,0,0,1929,1212,717
02,020,050,0500000US02020,00,Anchorage Municipality,02,020,,,,,,,,,,291826,268181,192498,16226,23130,23580,5901,6846,23645,21199,2227,200,19,0,291826,22061,269765,249715,182814,15308,22047,23208,5776,562,20050,18145,1764,130,11,0,216040,204776,151621,11654,16461,16710,3538,4792,11264,10455,745,59,5,0,216040,13666,202374,192591,145337,11107,15859,16484,3468,336,9783,9139,601,39,4,0,113032,107332,5700
02,050,050,0500000US02050,00,Bethel Census Area,02,050,,,,,,,,,,17013,16300,1894,65,14109,160,27,45,713,681,32,0,0,0,17013,181,16832,16157,1854,65,14056,158,18,6,675,648,27,0,0,0,10795,10469,1620,54,8604,147,14,30,326,320,6,0,0,0,10795,108,10687,10383,1589,54,8583,145,10,2,304,298,6,0,0,0,5919,4651,1268
02,060,050,0500000US02060,00,Bristol Bay Borough,02,060,,,,,,,,,,997,830,481,0,334,8,3,4,167,153,7,7,0,0,997,24,973,817,476,0,330,8,3,0,156,149,3,4,0,0,772,670,408,0,248,7,3,4,102,98,2,2,0,0,772,15,757,661,404,0,247,7,3,0,96,94,1,1,0,0,969,423,546
